code~omschrijving~groepcode~groep~orde
hVb~Koopveengronden op bosveen (of eutroofbroekveen)~hV~koopveengronden~Veengronden
Zn23~Vlakvaaggronden; lemig fijn zand~Zn~vlakvaaggronden~Vaaggronden
Zn30~Vlakvaaggronden; grof zand~Zn~vlakvaaggronden~Vaaggronden
Zd21~Duinvaaggronden; leemarm en zwak lemig fijn zand~Zd~duinvaaggronden~Vaaggronden
Zd23~Duinvaaggronden; lemig fijn zand~Zd~duinvaaggronden~Vaaggronden
Zd30~Duinvaaggronden; grof zand~Zd~duinvaaggronden~Vaaggronden
Zb21~Vorstvaaggronden; leemarm en zwak lemig fijn zand~Zb~vorstvaaggronden~Vaaggronden
Zb23~Vorstvaaggronden; lemig fijn zand~Zb~vorstvaaggronden~Vaaggronden
Zb30~Vorstvaaggronden; grof zand~Zb~vorstvaaggronden~Vaaggronden
pZg10A~Kalkhoudende beekeerdgronden; uiterst fijn zand~pZg~beekeerdgronden~Eerdgronden
pZg20A~Kalkhoudende beekeerdgronden; zeer fijn en matig fijn zand~pZg~beekeerdgronden~Eerdgronden
Zn10A~Kalkhoudende vlakvaaggronden; uiterst fijn zand~Zn~vlakvaaggronden~Vaaggronden
Zn40A~Kalkhoudende vlakvaaggronden; zeer fijn zand~Zn~vlakvaaggronden~Vaaggronden
Zn50A~Kalkhoudende vlakvaaggronden; matig fijn zand~Zn~vlakvaaggronden~Vaaggronden
Zn50A~Kalkhoudende vlakvaaggronden, matig fijn zand met ontkalkte bovengrond~Zn~vlakvaaggronden~Vaaggronden
Zn30A~Kalkhoudende vlakvaaggronden; grof zand~Zn~vlakvaaggronden~Vaaggronden
Zn30Ab~Kalkhoudende vlakvaaggronden, grof zand met ontkalkte bovengrond~Zn~vlakvaaggronden~Vaaggronden
Zd20A~Kalkhoudende duinvaaggronden; fijn zand~Zd~duinvaaggronden~Vaaggronden
Zd20Ab~Kalkhoudende duinvaaggronden; fijn zand met ontkalkte bovengrond~Zd~duinvaaggronden~Vaaggronden
Zd30A~Kalkhoudende duinvaaggronden; grof zand~Zd~duinvaaggronden~Vaaggronden
Zb20A~Kalkhoudende vorstvaaggronden; fijn zand~Zb~vorstvaaggronden~Vaaggronden
Zb30A~Kalkhoudende vorstvaaggronden; grof zand~Zb~vorstvaaggronden~Vaaggronden
Sn13A~Kalkhoudende vlakvaaggronden; zwak en sterk lemig, kleiig, uiterst fijn zand (in IJsselmeerpolders andere omschrijving)~Sn~vlakvaaggronden~Vaaggronden
Sn14A~Kalkhoudende vlakvaaggronden; zeer sterk lemig, kleiig, uiterst fijn zand (in IJsselmeerpolders andere omschrijving)~Sn~vlakvaaggronden~Vaaggronden
MOo02~Slikvaaggronden; zand beginnend ondieper dan 80 cm~MOo~slikvaaggronden~Vaaggronden
MOo05~Slikvaaggronden; geen zand beginnend ondieper dan 80 cm~MOo~slikvaaggronden~Vaaggronden
MOb12~Gorsvaaggronden; lichte zavel; zand beginnend ondieper dan 80 cm~MOb~gorsvaaggronden~Vaaggronden
MOb72~Gorsvaaggronden; zware zavel en klei; zand beginnend ondieper dan 80 cm~MOb~gorsvaaggronden~Vaaggronden
MOb15~Gorsvaaggronden; lichte zavel; geen zand beginnend ondieper dan 80 cm~MOb~gorsvaaggronden~Vaaggronden
MOb75~Gorsvaaggronden; zware zavel en klei; geen zand beginnend ondieper dan 80 cm~MOb~gorsvaaggronden~Vaaggronden
ROo02~Slikvaaggronden; zand beginnend ondieper dan 80 cm~ROo~slikvaaggronden~Vaaggronden
ROo05~Slikvaaggronden; geen zand beginnend ondieper dan 80 cm~ROo~slikvaaggronden~Vaaggronden
ROb12~Gorsvaaggronden; lichte zavel; zand beginnend ondieper dan 80 cm~ROb~gorsvaaggronden~Vaaggronden
ROb72~Gorsvaaggronden; zware zavel en klei; zand beginnend ondieper dan 80 cm~ROb~gorsvaaggronden~Vaaggronden
ROb15~Gorsvaaggronden; lichte zavel; geen zand beginnend ondieper dan 80 cm~ROb~gorsvaaggronden~Vaaggronden
ROb75~Gorsvaaggronden; zware zavel en klei; geen zand beginnend ondieper dan 80 cm~ROb~gorsvaaggronden~Vaaggronden
pMv51~Liedeerdgronden; zavel, profielverloop 1~pMv~liedeerdgronden~Eerdgronden
pMv81~Liedeerdgronden; klei, profielverloop 1~pMv~liedeerdgronden~Eerdgronden
pMo50~Tochteerdgronden; zavel~pMo~tochteerdgronden~Eerdgronden
pMo80~Tochteerdgronden; klei~pMo~tochteerdgronden~Eerdgronden
pMn52A~Kalkrijke leek-/woudeerdgronden; zavel, profielverloop 2~pMn~leek-/woudeerdgronden~Eerdgronden
pMn82A~Kalkrijke leek-/woudeerdgronden; klei, profielverloop 2~pMn~leek-/woudeerdgronden~Eerdgronden
pMn55A~Kalkrijke leek-/woudeerdgronden; zavel, profielverloop 5~pMn~leek-/woudeerdgronden~Eerdgronden
pMn85A~Kalkrijke leek-/woudeerdgronden; klei, profielverloop 5~pMn~leek-/woudeerdgronden~Eerdgronden
pMn52C~Kalkarme leek-/woudeerdgronden; zavel, profielverloop 2~pMn~leek-/woudeerdgronden~Eerdgronden
